### Cluster 50 — Symptoms (107)
Symptom,Frequency 
patients with lost vital forces from fluid loss,leg stiffness especially on first beginning to walk,1.0,1
patients with lost vital forces from fluid loss,aching along spine,1.0,1
patients with lost vital forces from fluid loss,paralytic pains in knees,1.0,1
patients with lost vital forces from fluid loss,drawing pain in hip joints,1.0,1
patients with lost vital forces from fluid loss,hat band sensation remains after hat removed,1.0,1
patients with lost vital forces from fluid loss,bruised pain in elbow joints,1.0,1
patients with lost vital forces from fluid loss,stiffness of back,1.0,1
patients with lost vital forces from fluid loss,aching pain from loins to coccyx,1.0,1
patients with lost vital forces from fluid loss,cramps in soles evenings after lying down,1.0,1
patients with lost vital forces from fluid loss,burning on scapula,1.0,1
patients with lost vital forces from fluid loss,boring in joints of fingers,1.0,1
patients with lost vital forces from fluid loss,fingers drawn out of shape,1.0,1
patients with lost vital forces from fluid loss,drawing in shafts of bones,1.0,1
patients with lost vital forces from fluid loss,drawing pain in back,1.0,1
patients with lost vital forces from fluid loss,drawing in joints of fingers,1.0,1
patients with lost vital forces from fluid loss,burning about hips,1.0,1
patients with lost vital forces from fluid loss,stitches in right great toe,1.0,1
patients with lost vital forces from fluid loss,pinching pressing pain in lower spine,1.0,1
patients with lost vital forces from fluid loss,tearing beneath hip,1.0,1
patients with lost vital forces from fluid loss,spine is bent,1.0,1
patients with lost vital forces from fluid loss,toe pain worse when walking,1.0,1
patients with lost vital forces from fluid loss,pressing pain beneath coccyx,1.0,1
patients with lost vital forces from fluid loss,roughness of voice,1.0,1
patients with lost vital forces from fluid loss,tension in knees on waking,1.0,1
patients with lost vital forces from fluid loss,boring in fingers,1.0,1
patients with lost vital forces from fluid loss,burning in thigh,1.0,1
patients with lost vital forces from fluid loss,rheumatic drawing in back,1.0,1
patients with lost vital forces from fluid loss,stitches in patella on rising,1.0,1
patients with lost vital forces from fluid loss,burning on right shoulder,1.0,1
patients with lost vital forces from fluid loss,toes stinging,1.0,1
patients with lost vital forces from fluid loss,drawing rheumatic pains in right shoulder,1.0,1
patients with lost vital forces from fluid loss,tearing in hip,1.0,1
patients with lost vital forces from fluid loss,voice almost fails at times,1.0,1
patients with lost vital forces from fluid loss,sensation as if tendons of wrist were shortened,1.0,1
patients with lost vital forces from fluid loss,pains at every weather change,1.0,1
patients with lost vital forces from fluid loss,sensation of stiffness in legs after sleep in evening,1.0,1
patients with lost vital forces from fluid loss,prickling stitches in joints of fingers,1.0,1
patients with lost vital forces from fluid loss,cold knees,1.0,1
patients with lost vital forces from fluid loss,shoulder pain worse from motion,1.0,1
patients with lost vital forces from fluid loss,tearing in right hip,1.0,1
patients with lost vital forces from fluid loss,drawing in arm on which he lies at night,1.0,1
patients with lost vital forces from fluid loss,boring pains in limbs,1.0,1
patients with lost vital forces from fluid loss,pressing cramp-like pain in small of back,1.0,1
patients with lost vital forces from fluid loss,stitches in shoulders,1.0,1
patients with lost vital forces from fluid loss,lancinating pain in wrists when grasping,1.0,1
patients with lost vital forces from fluid loss,sensation of plug in back,1.0,1
patients with lost vital forces from fluid loss,sensation as if tendons of hand were shortened,1.0,1
patients with lost vital forces from fluid loss,sprained pain in right hand,1.0,1
patients with lost vital forces from fluid loss,back pain worse on sitting,1.0,1
patients with lost vital forces from fluid loss,drawing in thigh,1.0,1
patients with lost vital forces from fluid loss,lack of strength in knees,1.0,1
patients with lost vital forces from fluid loss,cramp-like pain on outside of left thigh,1.0,1
patients with lost vital forces from fluid loss,knees go to sleep,1.0,1
patients with lost vital forces from fluid loss,pain in joints of hands,1.0,1
patients with lost vital forces from fluid loss,drawing pain from abdomen down into leg,1.0,1
patients with lost vital forces from fluid loss,great depression of vital forces,1.0,1
patients with lost vital forces from fluid loss,arms weary when writing,1.0,1
patients with lost vital forces from fluid loss,burning in fingers,1.0,1
patients with lost vital forces from fluid loss,limbs go to sleep,1.0,1
patients with lost vital forces from fluid loss,burning in bones,1.0,1
patients with lost vital forces from fluid loss,heartburn very persistent,1.0,1
patients with lost vital forces from fluid loss,thigh stitches passing downward when walking,1.0,1
patients with lost vital forces from fluid loss,stiffness of nape,1.0,1
patients with lost vital forces from fluid loss,paralytic weakness of right shoulder,1.0,1
patients with lost vital forces from fluid loss,great inclination to stretch limbs in evening,1.0,1
patients with lost vital forces from fluid loss,stitches in thigh,1.0,1
patients with lost vital forces from fluid loss,limbs are bruised,1.0,1
patients with lost vital forces from fluid loss,severe nosebleed almost daily,1.0,1
patients with lost vital forces from fluid loss,toes red,1.0,1
patients with lost vital forces from fluid loss,hip pain extending to thigh,1.0,1
patients with lost vital forces from fluid loss,painful sensation as if hat band were too tight,1.0,1
patients with lost vital forces from fluid loss,tearing in fingers of left hand,1.0,1
patients with lost vital forces from fluid loss,bone pain painful on pressure,1.0,1
patients with lost vital forces from fluid loss,complementary with kali carb.,1.0,1
prostrated with rheumatic pains,burning in limbs,1.0,1
prostrated with rheumatic pains,rheumatic drawing from loins to coccyx,1.0,1
prostrated with rheumatic pains,drawing tearing in left arm from elbow to hand,1.0,1
prostrated with rheumatic pains,hip pain extending to sacrum,1.0,1
prostrated with rheumatic pains,prickling stitches in fingers,1.0,1
prostrated with rheumatic pains,toes swollen,1.0,1
prostrated with rheumatic pains,hand pain worse in windy weather,1.0,1
prostrated with rheumatic pains,shoulder pain worse in morning,1.0,1
prostrated with rheumatic pains,tension in thigh in morning,1.0,1
prostrated with rheumatic pains,pains when beginning to walk,1.0,1
prostrated with rheumatic pains,great hoarseness,1.0,1
prostrated with rheumatic pains,drawing in limbs,1.0,1
prostrated with rheumatic pains,sense of constriction in thigh,1.0,1
prostrated with rheumatic pains,elbow pain worse by touch,1.0,1
prostrated with rheumatic pains,tearing in right thigh,1.0,1
prostrated with rheumatic pains,burning about scapulae,1.0,1
prostrated with rheumatic pains,cold limbs,1.0,1
prostrated with rheumatic pains,left thigh pain when lifting it,1.0,1
prostrated with rheumatic pains,stitches in ankle joint,1.0,1
prostrated with rheumatic pains,paralytic weakness of right arm,1.0,1
prostrated with rheumatic pains,cramps in calves at night,1.0,1
prostrated with rheumatic pains,stiffness of thigh on standing,1.0,1
prostrated with rheumatic pains,tearing in either wrist,1.0,1
prostrated with rheumatic pains,pain in scapular region,1.0,1
prostrated with rheumatic pains,patients with lost vital forces from fluid loss,1.0,1
prostrated with rheumatic pains,back pain worse on stooping,1.0,1
prostrated with rheumatic pains,burning in joints of fingers,1.0,1
prostrated with rheumatic pains,cramp-like tension in shoulders,1.0,1
prostrated with rheumatic pains,drawing pain in nape up into head,1.0,1
prostrated with rheumatic pains,unable to sit,1.0,1
prostrated with rheumatic pains,cramps in lower leg when walking,1.0,1
prostrated with rheumatic pains,limbs go to sleep easily,1.0,1
prostrated with rheumatic pains,leg stiffness especially on first beginning to walk,1.0,1
prostrated with rheumatic pains,aching along spine,1.0,1
prostrated with rheumatic pains,paralytic pains in knees,1.0,1
prostrated with rheumatic pains,drawing pain in hip joints,1.0,1
prostrated with rheumatic pains,hat band sensation remains after hat removed,1.0,1
prostrated with rheumatic pains,bruised pain in elbow joints,1.0,1
prostrated with rheumatic pains,stiffness of back,1.0,1
prostrated with rheumatic pains,aching pain from loins to coccyx,1.0,1
prostrated with rheumatic pains,cramps in soles evenings after lying down,1.0,1
prostrated with rheumatic pains,burning on scapula,1.0,1
prostrated with rheumatic pains,boring in joints of fingers,1.0,1
prostrated with rheumatic pains,fingers drawn out of shape,1.0,1
prostrated with rheumatic pains,drawing in shafts of bones,1.0,1
prostrated with rheumatic pains,drawing pain in back,1.0,1
prostrated with rheumatic pains,drawing in joints of fingers,1.0,1
prostrated with rheumatic pains,burning about hips,1.0,1
prostrated with rheumatic pains,stitches in right great toe,1.0,1
prostrated with rheumatic pains,pinching pressing pain in lower spine,1.0,1
prostrated with rheumatic pains,tearing beneath hip,1.0,1
prostrated with rheumatic pains,spine is bent,1.0,1
prostrated with rheumatic pains,toe pain worse when walking,1.0,1
prostrated with rheumatic pains,pressing pain beneath coccyx,1.0,1
prostrated with rheumatic pains,roughness of voice,1.0,1
prostrated with rheumatic pains,tension in knees on waking,1.0,1
prostrated with rheumatic pains,boring in fingers,1.0,1
prostrated with rheumatic pains,burning in thigh,1.0,1
prostrated with rheumatic pains,rheumatic drawing in back,1.0,1
prostrated with rheumatic pains,stitches in patella on rising,1.0,1
prostrated with rheumatic pains,burning on right shoulder,1.0,1
prostrated with rheumatic pains,toes stinging,1.0,1
prostrated with rheumatic pains,drawing rheumatic pains in right shoulder,1.0,1
prostrated with rheumatic pains,tearing in hip,1.0,1
prostrated with rheumatic pains,voice almost fails at times,1.0,1
prostrated with rheumatic pains,sensation as if tendons of wrist were shortened,1.0,1
prostrated with rheumatic pains,pains at every weather change,1.0,1
prostrated with rheumatic pains,sensation of stiffness in legs after sleep in evening,1.0,1
prostrated with rheumatic pains,prickling stitches in joints of fingers,1.0,1
prostrated with rheumatic pains,cold knees,1.0,1
prostrated with rheumatic pains,shoulder pain worse from motion,1.0,1
prostrated with rheumatic pains,tearing in right hip,1.0,1
prostrated with rheumatic pains,drawing in arm on which he lies at night,1.0,1
prostrated with rheumatic pains,boring pains in limbs,1.0,1
prostrated with rheumatic pains,pressing cramp-like pain in small of back,1.0,1
prostrated with rheumatic pains,stitches in shoulders,1.0,1
prostrated with rheumatic pains,lancinating pain in wrists when grasping,1.0,1
prostrated with rheumatic pains,sensation of plug in back,1.0,1
prostrated with rheumatic pains,sensation as if tendons of hand were shortened,1.0,1
prostrated with rheumatic pains,sprained pain in right hand,1.0,1
prostrated with rheumatic pains,back pain worse on sitting,1.0,1
prostrated with rheumatic pains,drawing in thigh,1.0,1
prostrated with rheumatic pains,lack of strength in knees,1.0,1
prostrated with rheumatic pains,cramp-like pain on outside of left thigh,1.0,1
prostrated with rheumatic pains,knees go to sleep,1.0,1
prostrated with rheumatic pains,pain in joints of hands,1.0,1
prostrated with rheumatic pains,drawing pain from abdomen down into leg,1.0,1
prostrated with rheumatic pains,great depression of vital forces,1.0,1
prostrated with rheumatic pains,arms weary when writing,1.0,1
prostrated with rheumatic pains,burning in fingers,1.0,1
prostrated with rheumatic pains,limbs go to sleep,1.0,1
prostrated with rheumatic pains,burning in bones,1.0,1
prostrated with rheumatic pains,heartburn very persistent,1.0,1
prostrated with rheumatic pains,thigh stitches passing downward when walking,1.0,1
prostrated with rheumatic pains,stiffness of nape,1.0,1
prostrated with rheumatic pains,paralytic weakness of right shoulder,1.0,1
prostrated with rheumatic pains,great inclination to stretch limbs in evening,1.0,1
prostrated with rheumatic pains,stitches in thigh,1.0,1
prostrated with rheumatic pains,limbs are bruised,1.0,1
prostrated with rheumatic pains,severe nosebleed almost daily,1.0,1
prostrated with rheumatic pains,toes red,1.0,1
prostrated with rheumatic pains,hip pain extending to thigh,1.0,1
prostrated with rheumatic pains,painful sensation as if hat band were too tight,1.0,1
prostrated with rheumatic pains,tearing in fingers of left hand,1.0,1
prostrated with rheumatic pains,bone pain painful on pressure,1.0,1
prostrated with rheumatic pains,complementary with kali carb.,1.0,1
paralytic weakness of right arm,burning in limbs,1.0,1
paralytic weakness of right arm,rheumatic drawing from loins to coccyx,1.0,1
paralytic weakness of right arm,drawing tearing in left arm from elbow to hand,1.0,1
paralytic weakness of right arm,hip pain extending to sacrum,1.0,1
paralytic weakness of right arm,prickling stitches in fingers,1.0,1
paralytic weakness of right arm,toes swollen,1.0,1
paralytic weakness of right arm,hand pain worse in windy weather,1.0,1
paralytic weakness of right arm,shoulder pain worse in morning,1.0,1
paralytic weakness of right arm,tension in thigh in morning,1.0,1
paralytic weakness of right arm,pains when beginning to walk,1.0,1
paralytic weakness of right arm,prostrated with rheumatic pains,1.0,1
paralytic weakness of right arm,great hoarseness,1.0,1
paralytic weakness of right arm,drawing in limbs,1.0,1
paralytic weakness of right arm,sense of constriction in thigh,1.0,1
paralytic weakness of right arm,elbow pain worse by touch,1.0,1
paralytic weakness of right arm,tearing in right thigh,1.0,1
paralytic weakness of right arm,burning about scapulae,1.0,1
paralytic weakness of right arm,cold limbs,1.0,1
paralytic weakness of right arm,left thigh pain when lifting it,1.0,1
paralytic weakness of right arm,stitches in ankle joint,1.0,1
paralytic weakness of right arm,cramps in calves at night,1.0,1
paralytic weakness of right arm,stiffness of thigh on standing,1.0,1
paralytic weakness of right arm,tearing in either wrist,1.0,1
paralytic weakness of right arm,pain in scapular region,1.0,1
paralytic weakness of right arm,patients with lost vital forces from fluid loss,1.0,1
paralytic weakness of right arm,back pain worse on stooping,1.0,1
paralytic weakness of right arm,burning in joints of fingers,1.0,1
paralytic weakness of right arm,cramp-like tension in shoulders,1.0,1
paralytic weakness of right arm,drawing pain in nape up into head,1.0,1
paralytic weakness of right arm,unable to sit,1.0,1
paralytic weakness of right arm,cramps in lower leg when walking,1.0,1
paralytic weakness of right arm,limbs go to sleep easily,1.0,1
paralytic weakness of right arm,leg stiffness especially on first beginning to walk,1.0,1
paralytic weakness of right arm,aching along spine,1.0,1
paralytic weakness of right arm,paralytic pains in knees,1.0,1
paralytic weakness of right arm,drawing pain in hip joints,1.0,1
paralytic weakness of right arm,hat band sensation remains after hat removed,1.0,1
paralytic weakness of right arm,bruised pain in elbow joints,1.0,1
paralytic weakness of right arm,stiffness of back,1.0,1
paralytic weakness of right arm,aching pain from loins to coccyx,1.0,1
paralytic weakness of right arm,cramps in soles evenings after lying down,1.0,1
paralytic weakness of right arm,burning on scapula,1.0,1
paralytic weakness of right arm,boring in joints of fingers,1.0,1
paralytic weakness of right arm,fingers drawn out of shape,1.0,1
paralytic weakness of right arm,drawing in shafts of bones,1.0,1
paralytic weakness of right arm,drawing pain in back,1.0,1
paralytic weakness of right arm,drawing in joints of fingers,1.0,1
paralytic weakness of right arm,burning about hips,1.0,1
paralytic weakness of right arm,stitches in right great toe,1.0,1
paralytic weakness of right arm,pinching pressing pain in lower spine,1.0,1
paralytic weakness of right arm,tearing beneath hip,1.0,1
paralytic weakness of right arm,spine is bent,1.0,1
paralytic weakness of right arm,toe pain worse when walking,1.0,1
paralytic weakness of right arm,pressing pain beneath coccyx,1.0,1
paralytic weakness of right arm,roughness of voice,1.0,1
paralytic weakness of right arm,tension in knees on waking,1.0,1
paralytic weakness of right arm,boring in fingers,1.0,1
paralytic weakness of right arm,burning in thigh,1.0,1
paralytic weakness of right arm,rheumatic drawing in back,1.0,1
paralytic weakness of right arm,stitches in patella on rising,1.0,1
paralytic weakness of right arm,burning on right shoulder,1.0,1
paralytic weakness of right arm,toes stinging,1.0,1
paralytic weakness of right arm,drawing rheumatic pains in right shoulder,1.0,1
paralytic weakness of right arm,tearing in hip,1.0,1
paralytic weakness of right arm,voice almost fails at times,1.0,1
paralytic weakness of right arm,sensation as if tendons of wrist were shortened,1.0,1
paralytic weakness of right arm,pains at every weather change,1.0,1
paralytic weakness of right arm,sensation of stiffness in legs after sleep in evening,1.0,1
paralytic weakness of right arm,prickling stitches in joints of fingers,1.0,1
paralytic weakness of right arm,cold knees,1.0,1
paralytic weakness of right arm,shoulder pain worse from motion,1.0,1
paralytic weakness of right arm,tearing in right hip,1.0,1
paralytic weakness of right arm,drawing in arm on which he lies at night,1.0,1
paralytic weakness of right arm,boring pains in limbs,1.0,1
paralytic weakness of right arm,pressing cramp-like pain in small of back,1.0,1
paralytic weakness of right arm,stitches in shoulders,1.0,1
paralytic weakness of right arm,lancinating pain in wrists when grasping,1.0,1
paralytic weakness of right arm,sensation of plug in back,1.0,1
paralytic weakness of right arm,sensation as if tendons of hand were shortened,1.0,1
paralytic weakness of right arm,sprained pain in right hand,1.0,1
paralytic weakness of right arm,back pain worse on sitting,1.0,1
paralytic weakness of right arm,drawing in thigh,1.0,1
paralytic weakness of right arm,lack of strength in knees,1.0,1
paralytic weakness of right arm,cramp-like pain on outside of left thigh,1.0,1
paralytic weakness of right arm,knees go to sleep,1.0,1
paralytic weakness of right arm,pain in joints of hands,1.0,1
paralytic weakness of right arm,drawing pain from abdomen down into leg,1.0,1
paralytic weakness of right arm,great depression of vital forces,1.0,1
paralytic weakness of right arm,arms weary when writing,1.0,1
paralytic weakness of right arm,burning in fingers,1.0,1
paralytic weakness of right arm,limbs go to sleep,1.0,1
paralytic weakness of right arm,burning in bones,1.0,1
paralytic weakness of right arm,heartburn very persistent,1.0,1
paralytic weakness of right arm,thigh stitches passing downward when walking,1.0,1
paralytic weakness of right arm,stiffness of nape,1.0,1
paralytic weakness of right arm,paralytic weakness of right shoulder,1.0,1
paralytic weakness of right arm,great inclination to stretch limbs in evening,1.0,1
paralytic weakness of right arm,stitches in thigh,1.0,1
paralytic weakness of right arm,limbs are bruised,1.0,1
paralytic weakness of right arm,severe nosebleed almost daily,1.0,1
paralytic weakness of right arm,toes red,1.0,1
paralytic weakness of right arm,hip pain extending to thigh,1.0,1
paralytic weakness of right arm,painful sensation as if hat band were too tight,1.0,1
paralytic weakness of right arm,tearing in fingers of left hand,1.0,1
paralytic weakness of right arm,bone pain painful on pressure,1.0,1
paralytic weakness of right arm,complementary with kali carb.,1.0,1
pain in joints of hands,burning in limbs,1.0,1
pain in joints of hands,rheumatic drawing from loins to coccyx,1.0,1
pain in joints of hands,drawing tearing in left arm from elbow to hand,1.0,1
pain in joints of hands,hip pain extending to sacrum,1.0,1
pain in joints of hands,prickling stitches in fingers,1.0,1
pain in joints of hands,toes swollen,1.0,1
pain in joints of hands,hand pain worse in windy weather,1.0,1
pain in joints of hands,shoulder pain worse in morning,1.0,1
pain in joints of hands,tension in thigh in morning,1.0,1
pain in joints of hands,pains when beginning to walk,1.0,1
pain in joints of hands,prostrated with rheumatic pains,1.0,1
pain in joints of hands,great hoarseness,1.0,1
pain in joints of hands,drawing in limbs,1.0,1
pain in joints of hands,sense of constriction in thigh,1.0,1
pain in joints of hands,elbow pain worse by touch,1.0,1
pain in joints of hands,tearing in right thigh,1.0,1
pain in joints of hands,burning about scapulae,1.0,1
pain in joints of hands,cold limbs,1.0,1
pain in joints of hands,left thigh pain when lifting it,1.0,1
pain in joints of hands,stitches in ankle joint,1.0,1
pain in joints of hands,paralytic weakness of right arm,1.0,1
pain in joints of hands,cramps in calves at night,1.0,1
pain in joints of hands,stiffness of thigh on standing,1.0,1
pain in joints of hands,tearing in either wrist,1.0,1
pain in joints of hands,pain in scapular region,1.0,1
pain in joints of hands,patients with lost vital forces from fluid loss,1.0,1
pain in joints of hands,back pain worse on stooping,1.0,1
pain in joints of hands,burning in joints of fingers,1.0,1
pain in joints of hands,cramp-like tension in shoulders,1.0,1
pain in joints of hands,drawing pain in nape up into head,1.0,1
pain in joints of hands,unable to sit,1.0,1
pain in joints of hands,cramps in lower leg when walking,1.0,1
pain in joints of hands,limbs go to sleep easily,1.0,1
pain in joints of hands,leg stiffness especially on first beginning to walk,1.0,1
pain in joints of hands,aching along spine,1.0,1
pain in joints of hands,paralytic pains in knees,1.0,1
pain in joints of hands,drawing pain in hip joints,1.0,1
pain in joints of hands,hat band sensation remains after hat removed,1.0,1
pain in joints of hands,bruised pain in elbow joints,1.0,1
pain in joints of hands,stiffness of back,1.0,1
pain in joints of hands,aching pain from loins to coccyx,1.0,1
pain in joints of hands,cramps in soles evenings after lying down,1.0,1
pain in joints of hands,burning on scapula,1.0,1
pain in joints of hands,boring in joints of fingers,1.0,1
pain in joints of hands,fingers drawn out of shape,1.0,1
pain in joints of hands,drawing in shafts of bones,1.0,1
pain in joints of hands,drawing pain in back,1.0,1
pain in joints of hands,drawing in joints of fingers,1.0,1
pain in joints of hands,burning about hips,1.0,1
pain in joints of hands,stitches in right great toe,1.0,1
pain in joints of hands,pinching pressing pain in lower spine,1.0,1
pain in joints of hands,tearing beneath hip,1.0,1
pain in joints of hands,spine is bent,1.0,1
pain in joints of hands,toe pain worse when walking,1.0,1
pain in joints of hands,pressing pain beneath coccyx,1.0,1
pain in joints of hands,roughness of voice,1.0,1
pain in joints of hands,tension in knees on waking,1.0,1
pain in joints of hands,boring in fingers,1.0,1
pain in joints of hands,burning in thigh,1.0,1
pain in joints of hands,rheumatic drawing in back,1.0,1
pain in joints of hands,stitches in patella on rising,1.0,1
pain in joints of hands,burning on right shoulder,1.0,1
pain in joints of hands,toes stinging,1.0,1
pain in joints of hands,drawing rheumatic pains in right shoulder,1.0,1
pain in joints of hands,tearing in hip,1.0,1
pain in joints of hands,voice almost fails at times,1.0,1
pain in joints of hands,sensation as if tendons of wrist were shortened,1.0,1
pain in joints of hands,pains at every weather change,1.0,1
pain in joints of hands,sensation of stiffness in legs after sleep in evening,1.0,1
pain in joints of hands,prickling stitches in joints of fingers,1.0,1
pain in joints of hands,cold knees,1.0,1
pain in joints of hands,shoulder pain worse from motion,1.0,1
pain in joints of hands,tearing in right hip,1.0,1
pain in joints of hands,drawing in arm on which he lies at night,1.0,1
pain in joints of hands,boring pains in limbs,1.0,1
pain in joints of hands,pressing cramp-like pain in small of back,1.0,1
pain in joints of hands,stitches in shoulders,1.0,1
pain in joints of hands,lancinating pain in wrists when grasping,1.0,1
pain in joints of hands,sensation of plug in back,1.0,1
pain in joints of hands,sensation as if tendons of hand were shortened,1.0,1
pain in joints of hands,sprained pain in right hand,1.0,1
pain in joints of hands,back pain worse on sitting,1.0,1
pain in joints of hands,drawing in thigh,1.0,1
pain in joints of hands,lack of strength in knees,1.0,1
pain in joints of hands,cramp-like pain on outside of left thigh,1.0,1
pain in joints of hands,knees go to sleep,1.0,1
pain in joints of hands,drawing pain from abdomen down into leg,1.0,1
pain in joints of hands,great depression of vital forces,1.0,1
pain in joints of hands,arms weary when writing,1.0,1
pain in joints of hands,burning in fingers,1.0,1
pain in joints of hands,limbs go to sleep,1.0,1
pain in joints of hands,burning in bones,1.0,1
pain in joints of hands,heartburn very persistent,1.0,1
pain in joints of hands,thigh stitches passing downward when walking,1.0,1
pain in joints of hands,stiffness of nape,1.0,1
pain in joints of hands,paralytic weakness of right shoulder,1.0,1
pain in joints of hands,great inclination to stretch limbs in evening,1.0,1
pain in joints of hands,stitches in thigh,1.0,1
pain in joints of hands,limbs are bruised,1.0,1
pain in joints of hands,severe nosebleed almost daily,1.0,1
pain in joints of hands,toes red,1.0,1
pain in joints of hands,hip pain extending to thigh,1.0,1
pain in joints of hands,painful sensation as if hat band were too tight,1.0,1
pain in joints of hands,tearing in fingers of left hand,1.0,1
pain in joints of hands,bone pain painful on pressure,1.0,1
pain in joints of hands,complementary with kali carb.,1.0,1
complementary with kali carb.,burning in limbs,1.0,1
complementary with kali carb.,rheumatic drawing from loins to coccyx,1.0,1
complementary with kali carb.,drawing tearing in left arm from elbow to hand,1.0,1
complementary with kali carb.,hip pain extending to sacrum,1.0,1
complementary with kali carb.,prickling stitches in fingers,1.0,1
complementary with kali carb.,toes swollen,1.0,1
complementary with kali carb.,hand pain worse in windy weather,1.0,1
complementary with kali carb.,shoulder pain worse in morning,1.0,1
complementary with kali carb.,tension in thigh in morning,1.0,1
complementary with kali carb.,pains when beginning to walk,1.0,1
complementary with kali carb.,prostrated with rheumatic pains,1.0,1
complementary with kali carb.,great hoarseness,1.0,1
complementary with kali carb.,drawing in limbs,1.0,1
complementary with kali carb.,sense of constriction in thigh,1.0,1
complementary with kali carb.,elbow pain worse by touch,1.0,1
complementary with kali carb.,tearing in right thigh,1.0,1
complementary with kali carb.,burning about scapulae,1.0,1
complementary with kali carb.,cold limbs,1.0,1
complementary with kali carb.,left thigh pain when lifting it,1.0,1
complementary with kali carb.,stitches in ankle joint,1.0,1
complementary with kali carb.,paralytic weakness of right arm,1.0,1
complementary with kali carb.,cramps in calves at night,1.0,1
complementary with kali carb.,stiffness of thigh on standing,1.0,1
complementary with kali carb.,tearing in either wrist,1.0,1
complementary with kali carb.,pain in scapular region,1.0,1
complementary with kali carb.,patients with lost vital forces from fluid loss,1.0,1
complementary with kali carb.,back pain worse on stooping,1.0,1
complementary with kali carb.,burning in joints of fingers,1.0,1
complementary with kali carb.,cramp-like tension in shoulders,1.0,1
complementary with kali carb.,drawing pain in nape up into head,1.0,1
complementary with kali carb.,unable to sit,1.0,1
complementary with kali carb.,cramps in lower leg when walking,1.0,1
complementary with kali carb.,limbs go to sleep easily,1.0,1
complementary with kali carb.,leg stiffness especially on first beginning to walk,1.0,1
complementary with kali carb.,aching along spine,1.0,1
complementary with kali carb.,paralytic pains in knees,1.0,1
complementary with kali carb.,drawing pain in hip joints,1.0,1
complementary with kali carb.,hat band sensation remains after hat removed,1.0,1
complementary with kali carb.,bruised pain in elbow joints,1.0,1
complementary with kali carb.,stiffness of back,1.0,1
complementary with kali carb.,aching pain from loins to coccyx,1.0,1
complementary with kali carb.,cramps in soles evenings after lying down,1.0,1
complementary with kali carb.,burning on scapula,1.0,1
complementary with kali carb.,boring in joints of fingers,1.0,1
complementary with kali carb.,fingers drawn out of shape,1.0,1
complementary with kali carb.,drawing in shafts of bones,1.0,1
complementary with kali carb.,drawing pain in back,1.0,1
complementary with kali carb.,drawing in joints of fingers,1.0,1
complementary with kali carb.,burning about hips,1.0,1
complementary with kali carb.,stitches in right great toe,1.0,1
complementary with kali carb.,pinching pressing pain in lower spine,1.0,1
complementary with kali carb.,tearing beneath hip,1.0,1
complementary with kali carb.,spine is bent,1.0,1
complementary with kali carb.,toe pain worse when walking,1.0,1
complementary with kali carb.,pressing pain beneath coccyx,1.0,1
complementary with kali carb.,roughness of voice,1.0,1
complementary with kali carb.,tension in knees on waking,1.0,1
complementary with kali carb.,boring in fingers,1.0,1
complementary with kali carb.,burning in thigh,1.0,1
complementary with kali carb.,rheumatic drawing in back,1.0,1
complementary with kali carb.,stitches in patella on rising,1.0,1
complementary with kali carb.,burning on right shoulder,1.0,1
complementary with kali carb.,toes stinging,1.0,1
complementary with kali carb.,drawing rheumatic pains in right shoulder,1.0,1
complementary with kali carb.,tearing in hip,1.0,1
complementary with kali carb.,voice almost fails at times,1.0,1
complementary with kali carb.,sensation as if tendons of wrist were shortened,1.0,1
complementary with kali carb.,pains at every weather change,1.0,1
complementary with kali carb.,sensation of stiffness in legs after sleep in evening,1.0,1
complementary with kali carb.,prickling stitches in joints of fingers,1.0,1
complementary with kali carb.,cold knees,1.0,1
complementary with kali carb.,shoulder pain worse from motion,1.0,1
complementary with kali carb.,tearing in right hip,1.0,1
complementary with kali carb.,drawing in arm on which he lies at night,1.0,1
complementary with kali carb.,boring pains in limbs,1.0,1
complementary with kali carb.,pressing cramp-like pain in small of back,1.0,1
complementary with kali carb.,stitches in shoulders,1.0,1
complementary with kali carb.,lancinating pain in wrists when grasping,1.0,1
complementary with kali carb.,sensation of plug in back,1.0,1
complementary with kali carb.,sensation as if tendons of hand were shortened,1.0,1
complementary with kali carb.,sprained pain in right hand,1.0,1
complementary with kali carb.,back pain worse on sitting,1.0,1
complementary with kali carb.,drawing in thigh,1.0,1
complementary with kali carb.,lack of strength in knees,1.0,1
complementary with kali carb.,cramp-like pain on outside of left thigh,1.0,1
complementary with kali carb.,knees go to sleep,1.0,1
complementary with kali carb.,pain in joints of hands,1.0,1
complementary with kali carb.,drawing pain from abdomen down into leg,1.0,1
complementary with kali carb.,great depression of vital forces,1.0,1
complementary with kali carb.,arms weary when writing,1.0,1
complementary with kali carb.,burning in fingers,1.0,1
complementary with kali carb.,limbs go to sleep,1.0,1
complementary with kali carb.,burning in bones,1.0,1
complementary with kali carb.,heartburn very persistent,1.0,1
complementary with kali carb.,thigh stitches passing downward when walking,1.0,1
complementary with kali carb.,stiffness of nape,1.0,1
complementary with kali carb.,paralytic weakness of right shoulder,1.0,1
complementary with kali carb.,great inclination to stretch limbs in evening,1.0,1
complementary with kali carb.,stitches in thigh,1.0,1
complementary with kali carb.,limbs are bruised,1.0,1
complementary with kali carb.,severe nosebleed almost daily,1.0,1
complementary with kali carb.,toes red,1.0,1
complementary with kali carb.,hip pain extending to thigh,1.0,1
